,Ave Rating
488,3.94
1843,3.8
1734,3.81
2911,4.31
146,3.6
1534,3.74
1986,4.03
1369,3.91
2450,3.49
3287,4.28
3002,3.9
2811,4.02
659,4.31
1794,3.96
2511,3.91
186,3.53
1147,2.73
608,3.84
2191,3.49
2799,3.77
1930,3.43
3029,3.81
197,4.23
2931,4.53
2327,4.11
293,3.87
766,3.08
400,4.22
122,3.8
202,2.94
835,4.24
2294,3.31
1439,3.87
1733,4.09
1695,3.16
3278,4.48
1707,3.83
3263,3.46
1153,2.83
1661,4.52
2432,3.84
1759,4.33
854,3.87
1589,3.51
2267,3.8
641,3.91
1,3.9
2160,3.88
698,4.15
2999,3.82
1636,4.22
1291,2.88
3198,3.82
2489,4.18
1520,3.77
1853,3.8
1136,3.56
3247,3.8
1631,4.55
1998,4.12
663,3.77
683,4.03
1257,3.85
317,3.87
648,4.0
1434,2.36
1479,3.84
709,3.64
1282,3.07
1768,3.7
972,3.72
2675,4.5
2680,4.01
1306,3.7
1400,3.98
1408,3.94
2237,3.99
1496,3.97
2038,4.1
1529,3.76
1663,4.39
1354,3.95
3274,3.74
3297,4.33
1643,4.3
1051,4.6
795,3.43
2693,4.16
3060,4.36
1597,3.31
2604,3.93
2729,4.04
2625,4.14
1819,4.04
3157,3.75
1722,3.53
1183,3.14
2572,4.06
1059,4.51
540,3.85
1678,4.37
2796,4.04
3236,4.49
2532,4.22
1757,4.29
1923,3.78
95,3.68
1020,4.14
563,3.46
2790,3.58
863,4.13
1484,4.07
2939,4.23
1881,3.24
1038,4.66
206,4.2
392,3.89
2842,3.85
870,4.25
397,3.87
2814,4.07
3225,4.22
1028,4.75
2690,4.48
1485,3.7
2660,4.28
960,3.75
1570,3.97
2773,3.91
1895,3.67
2731,4.26
2146,3.62
804,3.53
1751,3.89
2454,3.67
502,3.58
3119,3.55
3104,3.84
2977,4.26
779,3.43
1863,3.84
200,4.21
2182,4.13
3099,2.88
2088,4.06
3065,3.85
2278,3.74
1796,4.44
378,4.14
2336,3.81
418,3.76
1698,3.89
391,4.37
2640,3.97
1522,4.13
1162,2.73
3134,3.66
1495,3.39
2695,4.63
2027,4.28
1152,2.72
1367,4.1
2568,4.33
64,3.72
2062,3.72
1180,3.68
3112,3.43
492,3.59
379,3.91
2235,3.86
763,3.87
2264,3.86
791,3.56
1076,4.44
878,3.96
337,4.15
2767,3.93
2343,3.61
1016,4.42
1275,3.79
455,3.84
815,3.77
2317,3.86
995,3.3
1981,3.25
201,3.3
161,3.85
1579,4.09
2777,3.68
2449,3.63
702,3.91
1500,3.68
1129,3.62
2613,3.96
1021,4.52
3073,3.89
1585,3.7
1955,3.85
3152,3.91
2253,3.98
34,4.02
775,3.76
2556,4.18
1478,3.38
3003,3.83
1390,3.67
2139,4.05
1363,4.04
2945,4.33
2612,3.92
2824,3.85
2041,3.81
241,4.24
2061,3.83
2363,3.65
600,3.82
2435,3.61
1297,2.89
2214,4.19
2888,4.55
2068,4.01
646,3.84
3202,3.46
1528,3.87
2879,4.26
1267,3.52
1899,3.87
562,3.84
3320,4.51
2734,4.15
3005,4.08
189,3.36
1806,3.85
975,3.65
2747,3.89
2047,3.88
2558,3.95
1082,4.71
474,3.6
2904,3.9
747,4.17
2300,3.99
21,3.87
459,3.78
1184,3.85
2324,4.0
955,3.92
1215,2.73
2433,3.89
2853,4.65
1515,3.69
2391,4.03
769,4.03
1685,3.89
130,3.9
2919,4.07
3171,3.91
2135,4.35
1482,3.68
330,4.08
1238,3.72
466,4.02
2169,4.19
1638,4.23
3092,3.94
1095,4.46
1130,3.67
1294,2.73
860,4.01
3174,3.55
